path,width,height,mode,format
..\data\raw\img10029_D.jpg,1243,487,RGB,JPEG
..\data\raw\img10029_D_2.jpg,1276,481,RGB,JPEG
..\data\raw\img10029_E.jpg,841,1119,RGB,JPEG
..\data\raw\img10029_E_2.jpg,847,1117,RGB,JPEG
..\data\raw\img10029_F.jpg,1106,1126,RGB,JPEG
..\data\raw\img1002_single.jpg,1297,721,RGB,JPEG
..\data\raw\img10030_A.jpg,1357,1001,RGB,JPEG
..\data\raw\img10030_B.jpg,1357,1008,RGB,JPEG
..\data\raw\img10030_C.jpg,1355,926,RGB,JPEG
..\data\raw\img10030_D.jpg,1337,929,RGB,JPEG
..\data\raw\img10031_A.jpg,1415,1048,RGB,JPEG
..\data\raw\img10031_B.jpg,1565,1046,RGB,JPEG
..\data\raw\img10031_C.jpg,713,793,RGB,JPEG
..\data\raw\img10031_D.jpg,801,788,RGB,JPEG
..\data\raw\img10031_E.jpg,757,791,RGB,JPEG
..\data\raw\img10031_F.jpg,815,796,RGB,JPEG
..\data\raw\img10032_single.jpg,1701,1077,RGB,JPEG
..\data\raw\img10033_A.jpg,1279,1626,RGB,JPEG
..\data\raw\img10033_B.jpg,714,1590,RGB,JPEG
..\data\raw\img10033_B_2.jpg,986,1618,RGB,JPEG
..\data\raw\img10033_D.jpg,948,1564,RGB,JPEG
..\data\raw\img10034_A.jpg,1720,1450,RGB,JPEG
..\data\raw\img10034_B.jpg,1720,1128,RGB,JPEG
..\data\raw\img10035_single.jpg,1720,1447,RGB,JPEG
..\data\raw\img10036_A.jpg,1132,1805,RGB,JPEG
..\data\raw\img10037_single.jpg,1720,1378,RGB,JPEG
..\data\raw\img10038_A.jpg,657,1990,RGB,JPEG
..\data\raw\img10038_B.jpg,1160,1828,RGB,JPEG
..\data\raw\img10039_A.jpg,1616,1529,RGB,JPEG
..\data\raw\img10039_B.jpg,1507,1530,RGB,JPEG
..\data\raw\img1003_A.jpg,731,736,RGB,JPEG
..\data\raw\img1003_B.jpg,805,737,RGB,JPEG
..\data\raw\img1003_C.jpg,755,738,RGB,JPEG
..\data\raw\img10040_A.jpg,662,1105,RGB,JPEG
..\data\raw\img10040_B.jpg,1263,1122,RGB,JPEG
..\data\raw\img10040_C.jpg,875,1127,RGB,JPEG
..\data\raw\img10041_B.jpg,1814,1556,RGB,JPEG
..\data\raw\img10041_B_2.jpg,1102,1347,RGB,JPEG
