,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0,32.93967,28.883852,34.0028,40.237617,37.96799,35.701008,42.705982,32.880543,34.53037,37.554092,34.69148
1,32.93967,0.0,32.16535,35.38346,40.364628,34.62983,26.13048,40.70898,36.51795,29.390833,41.695316,32.345573
2,28.883852,32.16535,0.0,30.554668,40.32025,30.465399,31.165142,34.96806,24.863691,21.629318,32.979008,27.056942
3,34.0028,35.38346,30.554668,0.0,23.474669,24.155174,30.317,32.828236,33.51848,34.634373,39.81533,28.572584
4,40.237617,40.364628,40.32025,23.474669,0.0,32.223923,36.759552,37.09264,38.558342,42.630768,44.395973,35.28039
5,37.96799,34.62983,30.465399,24.155174,32.223923,0.0,29.377544,25.323889,30.888857,31.447674,36.021927,21.037682
6,35.701008,26.13048,31.165142,30.317,36.759552,29.377544,0.0,35.915325,32.639545,27.347862,38.51921,26.081234
7,42.705982,40.70898,34.96806,32.828236,37.09264,25.323889,35.915325,0.0,30.92368,35.422688,31.917906,20.71082
8,32.880543,36.51795,24.863691,33.51848,38.558342,30.888857,32.639545,30.92368,0.0,27.77196,21.571243,21.466595
9,34.53037,29.390833,21.629318,34.634373,42.630768,31.447674,27.347862,35.422688,27.77196,0.0,31.6692,25.377768
10,37.554092,41.695316,32.979008,39.81533,44.395973,36.021927,38.51921,31.917906,21.571243,31.6692,0.0,23.80233
11,34.69148,32.345573,27.056942,28.572584,35.28039,21.037682,26.081234,20.71082,21.466595,25.377768,23.80233,0.0
